#meleeweapons																													
Id		Categories	TechLevel	Price	Weight	InventoryWidthSize	ItemClass	WeaponClass	WeaponSubClass	IsImplicit	RequiredAmmo	OverrideAmmo	DefaultAmmoId	Damage	Firemodes	BonusAccuracy	MagazineCapacity	ReloadDuration	DurabilityLossOnThrow	ThrowRange	MeleeCanAmputate	MaxDurability	MinDurabilityAfterRepair	Unbreakable	RepairItemIds	GetMeleeDamageFromCreature	Traits		
common_knife_1		Civilian Security DaydreamChems	1	150	0.8	2	Weapon	Knife	Default	FALSE			implicted_knife	21 24 crit 2.00	precise_stab triple_stab	0.7	0	1	5	4	TRUE	90	0	FALSE	pierce_parts plastic	FALSE	perfect_throw		
military_knife_1		Military AnCom SBN	3	400	0.7	2	Weapon	Knife	Default	FALSE			implicted_knife	24 29 crit 1.90	precise_stab triple_stab	0.65	0	1	5	4	TRUE	90	0	FALSE	pierce_parts rubber	FALSE	perfect_throw		
miner_knife_1		Militia Miner Prison Grasshopper Planetbridge	2	150	1.0	2	Weapon	Knife	Default	FALSE			implicted_knife	23 27 crit 2.00	precise_stab triple_stab	0.65	0	1	5	4	TRUE	70	0	FALSE	pierce_parts plastic	FALSE	perfect_throw		
trash_knife_1		Prison Possessed	1	100	0.2	1	Weapon	Knife	Default	FALSE			implicted_knife	19 31 crit 2.05	precise_stab triple_stab	0.7	0	1	30	4	TRUE	30	0	FALSE		FALSE	perfect_throw		
ddr_poisonknife_1		DaydreamChems	3	600	1.2	2	Weapon	Knife	Toxic	FALSE	Toxic	implicted_toxicknife implicted_knife	toxic_ammo	25 29 crit 1.8	injection_stab triple_stab	0.65	5	2	5	4	TRUE	60	0	FALSE	pierce_parts rubber plastic	FALSE			
venus_knife_1		Venus	1	400	0.5	2	Weapon	Knife	Default	FALSE			implicted_knife_backstab	31 40 crit 2.10	precise_stab	0.7	0	1	5	4	TRUE	50	0	FALSE	venus_melee_parts venus_weapon_parts	FALSE	perfect_throw		
bone_knife		Possessed	1	150	1.5	2	Weapon	Knife	Default	FALSE			implicted_knife	20 26 crit 2.00	precise_stab triple_stab	0.65	0	1	10	4	TRUE	15	0	FALSE		FALSE			
*spider_claw		XiomaraMasks	1	150	0.9	2	Weapon	Knife	Default	FALSE			implicted_toxicknife	30 30 crit 1.8	precise_stab triple_stab	0.65	0	1	5	4	TRUE	60	0	FALSE		FALSE			
trash_blade_1		Prison UnchainedBelt SheduThousand Sunlight	1	100	2.2	2	Weapon	Blade	Default	FALSE			implicted_katana_brutal	21 27 crit 1.80	double_slash strong_slash	0.2	0	1	0	0	TRUE	70	0	FALSE	pierce_parts rusty_plates	FALSE	mutiliating unthrowable		
trash_sawblade_1		Worker ChurchRevelation Sunlight SheduThousand	3	350	3.0	2	Weapon	Blade	Default	FALSE	Gas	implicted_sawblade implicted_sawblade_long	gas_ammo	22 30 crit 1.65	power_double_slash power_strong_slash	0.2	15	1	0	0	TRUE	60	0	FALSE	coarse_parts pierce_parts	FALSE	mutiliating unthrowable		
tech_blade_1		Military AnCom	4	750	2.0	2	Weapon	Blade	Default	FALSE	BatteryCells	implicted_sword implicted_knife	battery_basic_ammo	23 31 crit 1.65	power_double_slash double_stab	0.25	10	1	0	0	TRUE	80	0	FALSE	pierce_parts rubber plastic	FALSE	mutiliating unthrowable		
med_lightblade_1		Science Medical Sunlight	4	750	2.5	2	Weapon	Blade	Laser	FALSE	BatteryCells	implicted_sword_laser	battery_basic_ammo	26 40 crit 1.65	power_double_slash	0.2	12	1	0	0	TRUE	75	0	FALSE	microelectronics_parts bulb	TRUE	mutiliating unthrowable		
mercury_sickle_1		Mercury	1	500	1.4	2	Weapon	Blade	Default	FALSE		none implicted_combat_knife	implicted_sword_brutal	19 28 crit 1.65	double_slash double_stab	0.3	0	1	5	3	TRUE	120	0	FALSE	mercury_glass mercury_rags	FALSE	mutiliating		
mercury_blade_1		Mercury	1	500	2.2	2	Weapon	Blade	Default	FALSE			implicted_katana_brutal	24 30 crit 1.80	double_slash strong_slash	0.2	0	1	0	0	TRUE	90	0	FALSE	mercury_glass mercury_rags	FALSE	mutiliating unthrowable		
scrivnus_blade_1		Scrivnus	1	600	2.0	2	Weapon	Blade	Default	FALSE		none implicted_knife	implicted_sword	24 30 crit 1.65	double_slash double_stab	0.25	0	1	0	0	TRUE	150	0	FALSE		FALSE	mutiliating unthrowable		
moon_blade_1		Moon	1	600	2.6	2	Weapon	Blade	Default	FALSE			implicted_katana_brutal	30 36 crit 1.90	double_slash strong_slash	0.2	0	1	0	0	TRUE	100	0	FALSE	moon_weapon_parts moon_armor_plates	FALSE	mutiliating unthrowable		
trash_fist_1		Civilian Prison UnchainedBelt	2	150	1.6	1	Weapon	Fist	Default	FALSE		implicted_club none	implicted_club_back	33 36 crit 1.60	double_smash strong_smash	0.4	0	1	0	0	FALSE	65	0	FALSE		FALSE	unthrowable		
civ_powerfist_1		CResistance	3	600	1.9	2	Weapon	Fist	Default	FALSE	BatteryCells	implicted_breaker implicted_breaker_back	battery_crafted_ammo	41 43 crit 1.60	power_double_smash power_strong_smash	0.45	6	1	0	0	FALSE	70	0	FALSE	blunt_parts coarse_parts	FALSE	unthrowable		
venus_battlefist_1		Venus XiomaraMasks	3	750	1.8	2	Weapon	Fist	Default	FALSE		implicted_claw none	implicted_claw_back	43 48 crit 1.8	double_smash strong_smash	0.45	0	1	0	0	TRUE	65	0	FALSE	venus_melee_parts venus_weapon_parts	FALSE	unthrowable		
